Id,Type,Raius,Sec-order Der,#branch_points,Dist_to_root,Dist_to_leaf
1,165,4.93492116,0.592919083636,0,0,10.889970723958953
2,13,4.183521160000001,-2.78327201729,0,2.734365814044579,8.155604909914373
3,254,0.6642932920000001,5.93028616124,1,7.117527285474448,3.7724434384845056
4,253,0.20936390800000002,5.07864355818,1,8.566479992728619,2.3234907312303337
5,234,0.28699325200000003,2.33179146872,1,9.499997511589413,1.38997321236954
6,127,0.154397672,0,1,10.137952359796579,0.7520183641623741
7,127,0.17603268800000002,0,1,10.889970723958953,0
8,241,1.25436064,2.81346065587,1,7.447131433021632,22.979510640340255
9,237,0.7621803800000001,2.5363193673,1,9.969432765602019,20.457209307759868
10,190,0.97720012,1.04123254767,1,12.177891808556451,18.248750264805437
11,56,1.4514396,-1.2183824797,1,14.256175577404083,16.170466495957807
12,6,1.6885637600000003,-3.4532618998,1,15.295230602112515,15.131411471249375
13,254,0.34217695200000003,9.15604658913,2,17.338891695949474,22.778869511315655
14,96,0.32179279600000005,-0.477373323568,2,20.236757260155017,19.881003947110113
15,114,0.32179279600000005,-0.191042942619,2,22.290877585360377,17.826883621904752
16,129,0.32179279600000005,0.0368370249026,2,22.968151680121775,17.149609527143355
17,139,0.32179279600000005,0.178601426787,2,25.272249008360077,14.845512198905052
18,135,0.32179279600000005,0.120042290852,2,25.989793637999238,14.127967569265891
19,126,0.375049376,-0.0156732964786,2,28.035146313975684,12.082614893289447
20,125,0.375049376,-0.0358599816216,2,28.41636439308967,11.70139681417546
21,119,0.49564642400000003,-0.117812706484,2,30.49924579298135,9.61851541428378
22,117,0.3863362880000001,-0.152176443154,2,32.65567385154152,7.462087355723606
23,118,0.33528794,-0.143807258526,2,34.3042586274952,5.813502579769926
24,122,0.46140733600000006,-0.0798172833681,2,36.65848178576326,3.4592794215018734
25,127,0.27954555200000003,0,2,39.030469596253624,1.0872916110115098
26,127,0.27954555200000003,0,2,40.11776120726513,0
27,11,1.66047908,-2.92252198791,2,16.3343343574574,14.09230771590449
28,241,0.359678384,2.77791135979,3,19.41209234996478,11.014549723397112
29,222,0.255088808,1.84682911167,3,20.635784501679023,9.790857571682869
30,206,0.255088808,1.38798183651,3,21.279346215891422,9.147295857470471
31,168,0.250033212,0.640829374296,3,22.002928553984333,8.423713519377563
32,131,0.250033212,0.0553025977243,3,22.395533388311364,8.03110868505053
33,123,0.346016164,-0.0608074696926,4,23.662678933609516,6.763963139752377
34,116,0.43181632000000003,-0.168292410866,5,27.306101124412486,3.120540948949408
35,0,0.7345978120000001,-8.958703356,6,28.092141019235644,2.3345010541262505
36,1,0.170383044,-4.69644409547,6,28.979634692671848,1.447007380690048
37,127,0.184025816,0,6,29.689479060640938,0.7371630127209585
38,127,0.274282216,0,6,30.426642073361897,0
39,118,0.38638225600000004,-0.140225451791,6,29.064507910429786,11.946223712531337
40,139,0.297982256,0.175065566368,6,29.948706655488376,11.062024967472745
41,173,0.28703214800000004,0.735799121896,6,31.360366864178616,9.650364758782505
42,189,0.26853268,1.02976717234,6,33.81831587609098,7.192415746870144
43,158,0.26853268,0.481287600768,6,34.97506380688662,6.035667816074503
44,0,0.823837612,-5.5307451857,6,36.25677628232575,4.753955340635365
45,10,0.389881128,-3.0371287118,6,37.30525750427171,3.7054741186894082
46,254,0.21887309600000002,6.10048287808,6,38.372624556399884,2.6381070665612305
47,127,0.21887309600000002,0,6,38.911805607767974,2.0989260151931424
48,127,0.6265208560000001,0,6,41.01073162296112,0
49,129,0.426833212,0.0250692301983,6,28.241008875261688,13.909074210340037
50,160,0.22017876400000003,0.517582523884,6,30.159782876992292,11.990300208609433
51,146,0.22017876400000003,0.287355365099,6,30.89350328695783,11.256579798643893
52,135,0.197668588,0.115868823509,6,31.42952696170633,10.720556123895392
53,131,0.43657666,0.0608346258576,6,32.688550164668435,9.461532920933289
54,198,0.410702864,1.22171163007,6,34.99505870366991,7.155024381931813
55,228,0.5924355840000001,2.06644815459,6,35.9789689272187,6.17111415838302
56,1,1.6253047200000001,-5.26953137168,6,39.14082545163591,3.0092576339658104
