Id,Type,Raius,Sec-order Der,#branch_points,Dist_to_root,Dist_to_leaf
144,244,0.07608243240000001,2.96041099007,3,44.83209162388232,1.219534719335635
145,86,0.28960724000000004,-0.617701997549,3,45.32249405840233,0.7291322848156279
146,127,0.115859692,0,3,45.684476202305234,0.3671501409127197
147,127,0.118912144,0,3,46.051626343217954,0
148,230,0.07994542400000001,2.09758580543,1,18.090491635632727,12.26199295566241
149,204,0.16834542400000002,1.29527136113,1,18.774378087147245,11.578106504147891
150,94,0.089313172,-0.492278915101,1,19.412198608872284,10.940285982422854
151,127,0.0723017412,0.00144700010396,1,20.06549612649255,10.286988464802588
152,44,0.20134426,-1.44278322508,1,20.5585930061874,9.793891585107739
153,59,0.27941825600000003,-1.11231430427,1,20.94169757528425,9.410787016010893
154,84,0.269092252,-0.646502209941,1,21.324780246998856,9.027704344296286
155,108,0.21464404000000004,-0.282328756676,1,21.660787789345154,8.691696801949988
156,130,0.160194944,0.0442677273074,1,22.00115472729818,8.35132986399696
157,173,0.09856953600000001,0.7003679723,1,22.896986151516195,7.455498439778943
158,190,0.08319615720000001,0.999353685003,1,23.570272362476732,6.7822122288184055
159,190,0.0828301812,1.01079856052,1,24.022264876419168,6.330219714875969
160,167,0.07724586480000001,0.605737531176,1,24.555981745802775,5.796502845492361
161,100,0.12214670000000001,-0.3923015961,1,25.29628715518612,5.056197436109016
162,62,0.34433126000000003,-1.03636514801,1,26.207407165299124,4.145077425996012
163,109,0.138954192,-0.263727632397,1,26.767655632308287,3.5848289589868476
164,121,0.094214952,-0.0904640328556,1,27.583479004052368,2.7690055872427672
165,130,0.09367571200000001,0.0414418039662,1,28.319558648824156,2.0329259424709805
166,123,0.18287750000000003,-0.0631281916562,1,28.84147015870774,1.5110144325873973
167,127,0.3536,0,1,29.412211081373005,0.9402735099221312
168,127,0.11516575200000001,0,2,30.352484591295138,0
169,104,0.16412874400000002,-0.334472857439,2,29.93801358113336,13.65598940073771
170,163,0.100067032,0.531650283127,2,30.64213004279896,12.95187293907211
171,214,0.0802056736,1.54369508293,2,31.407453161665547,12.186549820205526
172,165,0.0802056736,0.571796022577,2,31.910258979184004,11.68374400268707
173,109,0.16860532,-0.260262019445,2,32.65800120968315,10.936001772187922
174,64,0.29084484,-1.01347427175,2,34.339655197897606,9.254347783973461
175,124,0.10034018800000001,-0.0380476889719,2,35.140128583796525,8.453874398074543
176,172,0.08663500560000001,0.68616927281,2,35.9406330721717,7.653369909699369
177,195,0.08845127200000001,1.09697159451,2,36.84942189617737,6.744581085693704
178,158,0.222867008,0.468162334921,2,37.633520746883015,5.960482234988055
179,151,0.09389936400000001,0.354212498217,2,38.41745634934495,5.176546632526117
180,56,0.322164076,-1.17310300407,2,39.782765362633356,3.811237619237712
181,178,0.09478159600000001,0.79105001081,3,40.714163523742045,2.879839458129026
182,232,0.0884,2.18740569742,3,41.64557291498403,1.948430066887044
183,229,0.117758524,2.0284951233,3,41.91309018783526,1.680912794035817
184,222,0.19131616400000004,1.79883159957,3,42.08237878428759,1.5116241975834845
185,127,0.220674688,0,3,42.33022396161667,1.2637790202544112
186,127,0.242937344,0,3,43.59400298187108,0
187,72,0.205281596,-0.86111010765,3,41.53416338423329,5.060303872537037
188,197,0.16328187200000002,1.14379650086,3,42.88182556760673,3.712641689163593
189,192,0.0884,1.04878923466,3,44.56099505792971,2.0334721988406175
190,127,0.250033212,0,3,45.592592919896084,1.0018743368742407
191,127,0.19137539200000003,0,3,46.59446725677032,0
192,3,1.28789076,-3.86523071423,0,1.4510888917173899,32.14430890957293
193,254,0.201445036,11.1522554492,0,2.902066706704236,30.69333109458608
194,218,0.204016592,1.66524766779,0,4.181858998654457,29.41353880263586
195,106,0.17631291600000001,-0.305986679268,0,5.243026014174559,28.352371787115757
196,108,0.297029304,-0.277993359794,0,5.72183606585401,27.873561735436304
197,111,0.17916293200000002,-0.239808088136,0,6.351773945223967,27.243623856066346
198,113,0.153694892,-0.209269701229,0,6.838166971374133,26.75723082991618
199,117,0.143770224,-0.152664020705,0,7.378036421734422,26.21736137955589
200,125,0.138223124,-0.0357184369935,0,8.06601314356713,25.52938465772318
201,127,0.138183344,0.00565095410051,0,8.53080138961903,25.064596411671282
202,128,0.151833188,0.0197934437134,0,9.192621844742984,24.402775956547327
203,126,0.15274989600000002,-0.0183965562904,0,9.776884922817102,23.818512878473207
204,127,0.24327503200000003,0.00693074397337,0,10.276281442789918,23.31911635850039
205,129,0.166547368,0.0356400785663,0,11.189260680035016,22.40613712125529
206,130,0.10322468,0.0392154722261,0,11.779372015065416,21.81602578622489
207,130,0.10322468,0.0419276918073,0,12.295409786447937,21.29998801484237
208,130,0.09877904400000001,0.0442530587486,0,12.811392496229576,20.78400530506073
209,130,0.13709690800000002,0.0472831471258,0,13.676037189044466,19.919360612245843
210,130,0.13709690800000002,0.0492276773948,0,14.540603840712413,19.054793960577896
211,130,0.147226664,0.0500869557973,0,15.405126191276098,18.19027161001421
212,130,0.119241876,0.0500327653602,0,16.029367866462877,17.56602993482743
213,130,0.128381552,0.0491391363525,0,16.48387607648615,17.111521724804156
214,129,0.088403536,0.0232579774154,0,17.16007405911763,16.435323742172677
215,127,0.088403536,0.000731877944694,0,17.65068272940612,15.944715071884186
216,125,0.10296301600000002,-0.0249438936566,0,18.14124784981547,15.454149951474836
217,130,0.0698597796,0.0435456690651,0,18.669850591247936,14.92554721004237
218,130,0.0821182076,0.0413878979798,0,19.128324382635316,14.467073418654987
219,130,0.0797786132,0.0390270936952,0,19.568852046010228,14.026545755280075
220,129,0.11831544400000002,0.028954114817,0,21.058835981349667,12.536561819940637
221,128,0.18585039200000003,0.0173096633639,0,22.38619628116623,11.209201520124072
222,128,0.21575080800000002,0.0134064242233,0,22.785644191297003,10.809753609993303
223,128,0.15725122400000002,0.00922237801001,0,23.19671322479167,10.398684576498635
224,127,0.08445179080000001,0.000345418232371,0,24.018844373993353,9.57655342729695
225,127,0.07521478640000001,-0.00707421823513,0,24.662176369500866,8.933221431789436
226,126,0.0659776936,-0.0149092618933,0,25.30549946726223,8.28989833402807
227,125,0.19405302800000002,-0.0330003603021,0,26.677030255465834,6.9183675458244664
228,124,0.278191264,-0.0373878981154,0,26.98962540685958,6.605772394430718
229,124,0.3181295,-0.0440770614654,0,27.453328319738937,6.1420694815513635
