id  radius  depth  num_of_branch_points  distance_to_end_point
249    3.37729    31    5    8
250    3.48937    32    5    7
251    2.96274    33    5    6
252    2.13807    34    5    5
253    2    35    5    4
254    3.93149    36    5    3
255    6.94716    37    5    2
256    2.51471    38    6    1
257    3.31621    39    6    0
258    8.6931    38    6    3
259    1.88518    39    6    2
260    2.64346    40    6    1
261    3.85286    41    6    0
262    5.75397    27    5    8
263    5.66127    28    5    7
264    5.66127    29    5    6
265    8.76108    30    5    5
266    10.4527    31    5    4
267    8.36276    32    5    3
268    5.99204    33    5    2
269    4.04788    34    6    2
270    4.24409    35    6    1
271    3.72465    36    6    0
272    8.5187    34    6    1
273    4.763    35    6    0
274    4.31539    34    6    1
275    2.64475    35    7    0
276    3.46855    35    7    0
277    3.59796    35    7    1
278    4    36    7    0
279    5.49602    34    6    6
280    2.82843    35    6    5
281    2.82843    36    6    4
282    2.82843    37    6    3
283    2.82843    38    6    2
284    2.82843    39    6    1
285    2.54937    40    6    0
